year,box office
1977,443497461.0
1978,826413013.0
1979,1229428453.0
1980,1642400771.0
1981,898686960.0
1982,3001761432.0
1983,2738195414.0
1984,3066288000.0
1985,3017379323.0
1986,3065297715.0
1987,3343230996.0
1988,3542179944.0
1989,4084060815.0
1990,4326824577.0
1991,4336073530.0
1992,4519644026.0
1993,4823116106.0
1994,5061909583.0
1995,5106129264.0
1996,5600750973.0
1997,6077250085.0
1998,6696278852.0
1999,7340708198.0
2000,7476224972.0
2001,7959296828.0
2002,9164913438.0
2003,9232953228.0
2004,9354636012.0
2005,8833618311.0
2006,9203041941.0
2007,9679019852.0
2008,9652648585.0
2009,10615886283.0
2010,10585388159.0
2011,10155695359.0
2012,10843641372.0
2013,10955524800.0
2014,10368861849.0
2015,11148780747.0
2016,11375225455.0
2017,11075387520.0
2018,11892160011.0
2019,11363364796.0
2020,2113846800.0
2021,4482808453.0
2022,7369505492.0
2023,8905466209.0
